Time: 0.056328421999999996, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.057053214000000005, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.05796233900000001, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.058722131, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.05950058900000001, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.060180755999999995, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.060897089, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.06157317299999999, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.062868756, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.063624173, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.06437463099999999, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.065044006, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.065789798, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.07069446500000001, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.07212392400000002, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.074370924, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.07614921599999999, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.07781317400000003, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.25227904466008966
Time: 0.07936834100000001, Heading: 0.0, ActualHeading: 3.090632501107255E-4, CurrentVelo: 0.30253654021616944, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.080644091, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.08174192500000001, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.085675925, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.08720455, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.08825600900000001, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.08923396700000001, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: -0.21991994073699192
Time: 0.09029271700000001, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 34.051983073224235, DesiredVelo: 28.0, LateralVelo: -0.21991994073699192
Time: 0.09161250900000002, Heading: 0.0, ActualHeading: 6.18126500221451E-4, CurrentVelo: 0.6926288453947534, VeloCommand: 34.216533111200064, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.092877759, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 34.33792192397463, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.09400709300000003, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 34.47872587260837, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.098163635, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 34.996958323116324, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.09950063500000002, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 35.16365380852923, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.10076238500000002, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 35.32096721819246, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.101999343, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 35.47518959234757, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.10354400999999999, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 35.66777673921839, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.10470192700000001, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 35.812144380492036, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
